intent,query
ความยากในการเรียน,เรียนยากไหมครับ
ความยากในการเรียน,เรียนยากไหม
ความยากในการเรียน,เรียนยากไหม
ความยากในการเรียน,เรียนยากไหม
ความยากในการเรียน,เรียนยากไหมคะ
ความยากในการเรียน,เรียนยากไหมครับ 
ความยากในการเรียน,เรียนยากไหมคะ
ความยากในการเรียน,เรียนยากป่าว
ความยากในการเรียน,เรียนยากไหมครับ
ความยากในการเรียน,เรียนยากไหมครับ 
ความยากในการเรียน,เรียนยากไหม
ความยากในการเรียน,เรียนยากไหม
ความยากในการเรียน,เรียนยากป่าว
ความยากในการเรียน,เรียนยากไหม
ความยากในการเรียน,เรียนยากไหมครับ
ความยากในการเรียน,เรียนยากไหม
ความยากในการเรียน,เรียนยากไหม
ความยากในการเรียน,สาขานี้เรียนยากไหม
ความยากในการเรียน,เรียนยากไหม 
ความยากในการเรียน,เรียนยากไหม
ความยากในการเรียน,เรียนยากไหม
ความยากในการเรียน,เรียนยากไหม
ความยากในการเรียน,เรียนยากไหมครับ
ความยากในการเรียน,เรียนยากไหม
ความยากในการเรียน,เรียนยากไหมคะ
ความยากในการเรียน,เรียนยากไหมม
ความยากในการเรียน,เรียนยากไหม
ความยากในการเรียน,เรียนยากไหม
ความยากในการเรียน,เรียนยากไหม
ความยากในการเรียน,เรียนยากไหม
ความยากในการเรียน,เรียนยากไหม
ความยากในการเรียน,เรียนยากไหม
ความยากในการเรียน,เรียนยากไหม
ความยากในการเรียน,เรียนยากมากไหมคะ
ความยากในการเรียน,เรียนยากไหม
ความยากในการเรียน,เรียนยากไหมครับ
ความยากในการเรียน,เรียนยากป่าว
ความยากในการเรียน,เรียนยากไหมคะ
ความยากในการเรียน,เรียนยากไหม
ความยากในการเรียน,เรียนยากไหมครับ
ความยากในการเรียน,เรียนยากมั้ยคะ 
ความยากในการเรียน,เรียนยากไหม
ความยากในการเรียน,เรียนยากไหม
ความยากในการเรียน,เรียนยากไหมครับ
ความยากในการเรียน,เรียนยากป่าว
ความยากในการเรียน,เรียนยากไหม
ความยากในการเรียน,เรียนยากไหม
ความยากในการเรียน,เรียนยากไหม
ความยากในการเรียน,ที่นี่เรียนยากไหมครับ
ความยากในการเรียน,ที่นี่เรียนยากไหมคะ
ความยากในการเรียน,ที่นี่เรียนยากไหม
ความยากในการเรียน,ที่นี่เรียนยากไหมคะ
ความยากในการเรียน,ที่นี่เรียนยากรึเปล่า
ความยากในการเรียน,เรียนที่นี่ยากรึเปล่าคะ
ความยากในการเรียน,เรียนยากรึเปล่า
ความยากในการเรียน,เรียนหนักไหม
ความยากในการเรียน,เรียนหนักอะป่าว
ความยากในการเรียน,เรียนหนักไหม
ความยากในการเรียน,เรียนหนักไหม
ความยากในการเรียน,เรียนหนักไหม
